"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"XM_011417904.3" 28.142448643327 0.62009974152156 0.154823888460639 4.00519420928515 6.19665487666861e-05 0.00774004165409983
"XM_011417908.2" 20.4986005686716 -0.661249886932963 0.174399093608039 -3.79159015825575 0.000149685788674341 0.0147349678736125
"XM_011418768.3" 167.671865045715 -0.802006883763106 0.206804060721098 -3.87810027021043 0.000105275328794174 0.0116101566758751
"XM_011418872.3" 63.8945100248181 0.753921928174532 0.188146364902447 4.00710334512939 6.14679716971446e-05 0.00771302044854879
"XM_011418954.3" 16.3636508837464 -1.12589102119202 0.259196811428942 -4.34376879478196 1.40058920315889e-05 0.0026571178025643
"XM_011419041.3" 50.1524457114525 -0.800089089400527 0.175704458781641 -4.55360720466889 5.27337786690252e-06 0.00122681094433516
"XM_011419098.3" 15.8494174668267 0.885247157496126 0.19538893547209 4.53069236165924 5.87906962215759e-06 0.00133841219283862
"XM_011419179.3" 53.1582095785975 0.902982211452876 0.139513811671986 6.47234994608202 9.64903272308136e-11 7.15195281279184e-08
"XM_011419181.3" 139.100481996323 0.501445832363994 0.13167252261519 3.80827998434767 0.000139936776676461 0.0142040284911853
"XM_011419576.3" 2916.66376035378 0.532658655931144 0.089354881969922 5.96115896734601 2.50455166115125e-09 1.47824204711505e-06
"XM_011419645.3" 27.7299637961429 2.78382546511433 0.738095366958646 3.77163384263636 0.00016218212648058 0.0152931027668315
"XM_011419848.3" 2818.97990022202 -1.10763163922547 0.321979242149296 -3.44007157676295 0.000581560362242185 0.0361315630904151
"XM_011419981.3" 7.96062353542306 -3.16683783818273 0.945440683819229 -3.34958913063682 0.000809315124616156 0.0453111540595857
"XM_011420357.3" 27.5851911296517 1.1542525289493 0.17963482550995 6.42554986580465 1.31393682655311e-10 9.51768057634109e-08
"XM_011420371.3" 796.279059471729 4.38731929529344 0.562538537607673 7.79914441764566 6.23283029711812e-15 9.02967123771586e-12
"XM_011420372.3" 22.194919055135 2.89446535103751 0.766556241051972 3.77593344888215 0.000159409552645469 0.0151917733505758
"XM_011420610.3" 11.1946686247735 -3.1982130240559 0.837823537162556 -3.81728715200249 0.000134927101466874 0.0137392861915406
"XM_011420631.3" 19.5525381598568 1.62216228195286 0.474341150940617 3.41982195459137 0.000626621336604233 0.0381867595415872
"XM_011420662.3" 12.8311635536584 -0.837163487825148 0.250830773205939 -3.33756291991259 0.000845165837272339 0.0466040234697993
"XM_011420824.3" 10.7001437164755 2.73359026378349 0.59231789444226 4.6150729016173 3.92957356243418e-06 0.000941679463021822
"XM_011420913.3" 109.850426931545 0.667241536791952 0.194577785432621 3.42917633330248 0.000605416052751456 0.0371788447654998
"XM_011420959.3" 27.6158999325457 1.30427973517696 0.210821867088751 6.18664350708882 6.14587356945142e-10 3.99757719195012e-07
"XM_011420983.3" 31.3480669716257 -1.0301735860676 0.247217574968347 -4.1670726128573 3.08536239968474e-05 0.00486815200013625
"XM_011421012.3" 29.5603990386456 -0.7124848631856 0.175319939184685 -4.06391233363969 4.82569567645384e-05 0.00647886168330461
"XM_011421699.3" 5.19921541692875 2.04690872856207 0.572473759236016 3.57555031219899 0.000349491952432523 0.0254698743759876
"XM_011422329.3" 4.07731826513437 3.06711392037958 0.817894433405389 3.7500119760069 0.000176826125214599 0.0161484305525493
"XM_011422342.3" 75.3533660008981 -1.15863539263211 0.165806045017769 -6.98789596306899 2.7903917513996e-12 2.61574605590024e-09
"XM_011422632.3" 22.3642622208987 -1.56228389174533 0.381693783613499 -4.09302943567794 4.2577364559817e-05 0.00611272866329049
"XM_011422990.3" 339.214376499151 0.631227747957554 0.179527203579774 3.5160562598362 0.000438008159032695 0.0302824209212366
